epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8088,1.40336,3.30097,1.67065,0.76739,0.07721,0.05882,0.02398,2.1389,3.07302,2.47884,0.000474315,0.000474315,0.000474315
2,66.789,1.01797,2.16041,1.35759,0.77897,0.05814,0.05396,0.03371,2.08766,3.52838,2.56716,0.00092712,0.00092712,0.00092712
3,99.7009,1.02231,2.0572,1.34545,0.77575,0.06202,0.07074,0.04109,1.87418,3.05471,2.19812,0.00135635,0.00135635,0.00135635
4,132.031,1.01661,1.86214,1.35322,0.83259,0.10853,0.136,0.07108,2.15113,2.82624,2.91844,0.0013229,0.0013229,0.0013229
5,162.978,0.92281,1.59443,1.27276,0.78595,0.12016,0.11496,0.06377,1.90182,3.03357,2.4387,0.00128753,0.00128753,0.00128753
6,194.729,0.82037,1.45349,1.20368,0.87067,0.1124,0.13685,0.08854,1.8443,2.69347,2.22837,0.00125216,0.00125216,0.00125216
7,224.126,0.81027,1.41651,1.18833,0.80593,0.11683,0.13284,0.07309,1.81368,2.77695,2.15262,0.00121679,0.00121679,0.00121679
8,253.365,0.7589,1.35,1.14886,0.8272,0.12016,0.15035,0.10905,1.67155,2.57944,2.07276,0.00118143,0.00118143,0.00118143
9,283.809,0.7715,1.34404,1.19212,0.85969,0.10853,0.15775,0.10686,1.76658,2.57423,2.17208,0.00114606,0.00114606,0.00114606
10,313.673,0.68347,1.15476,1.12508,0.86339,0.13955,0.1504,0.09036,1.70269,2.36687,2.2141,0.00111069,0.00111069,0.00111069
11,343.846,0.66396,1.09354,1.11089,0.82612,0.12403,0.15464,0.10377,1.68671,2.51284,2.13766,0.00107532,0.00107532,0.00107532
12,374.356,0.60721,1.04627,1.06997,0.84564,0.12403,0.16073,0.12007,1.59021,2.55979,2.06956,0.00103995,0.00103995,0.00103995
13,403.55,0.59948,1.02478,1.06746,0.88287,0.13566,0.1887,0.14473,1.50505,2.20774,1.99154,0.00100459,0.00100459,0.00100459
14,433.569,0.61735,1.08265,1.09136,0.93484,0.10078,0.19153,0.14925,1.54797,2.39231,1.9467,0.000969219,0.000969219,0.000969219
15,462.532,0.55486,0.93217,1.04618,0.91977,0.11628,0.17685,0.13184,1.55545,2.4038,1.98191,0.000933851,0.000933851,0.000933851
16,491.649,0.59445,0.98567,1.07008,0.84437,0.16279,0.18083,0.12639,1.6163,2.35772,2.15342,0.000898484,0.000898484,0.000898484
17,519.07,0.5546,0.89463,1.07203,0.89899,0.13566,0.18976,0.13083,1.64437,2.37225,2.26423,0.000863116,0.000863116,0.000863116
18,546.495,0.53545,0.9428,1.043,0.9337,0.12403,0.18976,0.13502,1.49118,2.23927,1.87612,0.000827748,0.000827748,0.000827748
19,574.083,0.55358,0.95465,1.04962,0.91796,0.14248,0.20768,0.1609,1.42624,2.1689,1.94376,0.00079238,0.00079238,0.00079238
20,601.393,0.50009,0.8511,1.02215,0.56154,0.17671,0.23152,0.16664,1.51364,2.35337,1.93479,0.000757013,0.000757013,0.000757013
21,631.408,0.46344,0.77738,1.01208,0.56438,0.19064,0.2482,0.1909,1.28647,2.04148,1.75291,0.000721645,0.000721645,0.000721645
22,660.454,0.48886,0.80854,1.02262,0.54485,0.12791,0.2177,0.18409,1.29891,2.24457,1.75379,0.000686277,0.000686277,0.000686277
23,690.252,0.46844,0.80038,1.00488,0.59808,0.19162,0.21972,0.16972,1.34101,2.10812,1.84194,0.000650909,0.000650909,0.000650909
24,719.697,0.43052,0.741,0.99207,0.66228,0.19595,0.24887,0.19572,1.38088,2.1526,1.79154,0.000615542,0.000615542,0.000615542
25,749.085,0.42792,0.69505,1.01073,0.59476,0.23758,0.21912,0.18435,1.51767,2.18942,2.1099,0.000580174,0.000580174,0.000580174
26,778.594,0.42463,0.76169,1.00706,0.62155,0.25722,0.22315,0.17549,1.42898,2.25842,1.8877,0.000544806,0.000544806,0.000544806
27,807.354,0.41946,0.76233,0.98859,0.57007,0.27003,0.2545,0.20158,1.38682,2.04159,1.86753,0.000509438,0.000509438,0.000509438
28,836.503,0.38472,0.6526,0.98131,0.68731,0.33175,0.31093,0.24721,1.32937,1.93862,1.7365,0.000474071,0.000474071,0.000474071
29,865.576,0.39499,0.66747,0.97998,0.70506,0.36908,0.34372,0.27285,1.26413,1.72448,1.71029,0.000438703,0.000438703,0.000438703
30,894.845,0.38221,0.682,0.97842,0.5743,0.29788,0.27867,0.21384,1.39929,1.90128,1.85654,0.000403335,0.000403335,0.000403335
31,961.281,1.33287,2.16189,1.77459,0.6492,0.25452,0.26034,0.20418,1.28362,1.9565,1.68528,0.000367967,0.000367967,0.000367967
32,991.099,1.15741,1.85954,1.61092,0.78226,0.34522,0.38991,0.33054,1.15714,1.78546,1.63324,0.0003326,0.0003326,0.0003326
33,1020.59,1.09616,1.72421,1.53072,0.77361,0.31668,0.36755,0.31009,1.1017,1.63201,1.58124,0.000297232,0.000297232,0.000297232
34,1049.94,1.07392,1.66371,1.51207,0.74193,0.41919,0.40189,0.33703,1.05904,1.48348,1.53989,0.000261864,0.000261864,0.000261864
35,1079.12,1.02067,1.57394,1.4794,0.79152,0.36426,0.41767,0.35564,1.0439,1.43012,1.5246,0.000226497,0.000226497,0.000226497
36,1108.4,1.05749,1.58514,1.48725,0.76154,0.41459,0.4464,0.3721,1.04551,1.34706,1.49506,0.000191129,0.000191129,0.000191129
37,1137.29,1.01506,1.52553,1.43647,0.82246,0.41071,0.4651,0.38478,0.99834,1.29045,1.45282,0.000155761,0.000155761,0.000155761
38,1166.51,0.96158,1.47359,1.41554,0.76877,0.4194,0.48137,0.39963,1.02697,1.26994,1.46382,0.000120393,0.000120393,0.000120393
39,1195.47,0.95629,1.41768,1.39874,0.95612,0.34022,0.4866,0.40352,0.98435,1.25856,1.43505,8.50255e-05,8.50255e-05,8.50255e-05
40,1224.69,0.96654,1.4453,1.42044,0.79403,0.44186,0.49402,0.41622,0.98741,1.23459,1.43306,4.96578e-05,4.96578e-05,4.96578e-05
